code_postal,Commune,Code Département,Département,Code Région,Région
50420,BEAUCOUDRAY,50,MANCHE,25,BASSE-NORMANDIE
12270,LUNAC,12,AVEYRON,73,MIDI-PYRENEES
35390,GRAND-FOUGERAY,35,ILLE-ET-VILAINE,53,BRETAGNE
22440,LA MEAUGON,22,COTES-D'ARMOR,53,BRETAGNE
15150,ARNAC,15,CANTAL,83,AUVERGNE
91730,TORFOU,91,ESSONNE,11,ILE-DE-FRANCE
09400,CAPOULET-ET-JUNAC,09,ARIEGE,73,MIDI-PYRENEES
89570,TURNY,89,YONNE,26,BOURGOGNE
89200,THAROT,89,YONNE,26,BOURGOGNE
08130,SAINTE-VAUBOURG,08,ARDENNES,21,CHAMPAGNE-ARDENNE
95230,SOISY-SOUS-MONTMORENCY,95,VAL-D'OISE,11,ILE-DE-FRANCE
60150,MACHEMONT,60,OISE,22,PICARDIE
25640,VILLERS-GRELOT,25,DOUBS,43,FRANCHE-COMTE
59554,TILLOY-LEZ-CAMBRAI,59,NORD,31,NORD-PAS-DE-CALAIS
21110,GENLIS,21,COTE-D'OR,26,BOURGOGNE
29800,PLOUDIRY,29,FINISTERE,53,BRETAGNE
77310,BOISSISE-LE-ROI,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
17430,SAINT-HIPPOLYTE,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
71150,PARIS-L'HOPITAL,71,SAONE-ET-LOIRE,26,BOURGOGNE
12340,CRUEJOULS,12,AVEYRON,73,MIDI-PYRENEES
30128,GARONS,30,GARD,91,LANGUEDOC-ROUSSILLON
25320,BYANS-SUR-DOUBS,25,DOUBS,43,FRANCHE-COMTE
66130,CASEFABRE,66,PYRENEES-ORIENTALES,91,LANGUEDOC-ROUSSILLON
02220,COURCELLES-SUR-VESLE,02,AISNE,22,PICARDIE
80200,FLAUCOURT,80,SOMME,22,PICARDIE
30870,CLARENSAC,30,GARD,91,LANGUEDOC-ROUSSILLON
77450,CONDE-SAINTE-LIBIAIRE,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
60640,BERLANCOURT,60,OISE,22,PICARDIE
31420,CASSAGNABERE-TOURNAS,31,HAUTE-GARONNE,73,MIDI-PYRENEES
51230,BROUSSY-LE-GRAND,51,MARNE,21,CHAMPAGNE-ARDENNE
48600,SAINT-PAUL-LE-FROID,48,LOZERE,91,LANGUEDOC-ROUSSILLON
59143,MILLAM,59,NORD,31,NORD-PAS-DE-CALAIS
58240,SAINT-PIERRE-LE-MOUTIER,58,NIEVRE,26,BOURGOGNE
62156,ETAING,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
60850,SAINT-PIERRE-ES-CHAMPS,60,OISE,22,PICARDIE
25650,MONTBENOIT,25,DOUBS,43,FRANCHE-COMTE
72430,CHANTENAY-VILLEDIEU,72,SARTHE,52,PAYS DE LA LOIRE
80270,METIGNY,80,SOMME,22,PICARDIE
89800,FLEYS,89,YONNE,26,BOURGOGNE
62185,SAINT-TRICAT,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
39130,BLYE,39,JURA,43,FRANCHE-COMTE
37360,ROUZIERS-DE-TOURAINE,37,INDRE-ET-LOIRE,24,CENTRE
04110,REILLANNE,04,ALPES-DE-HAUTE-PROVENCE,93,PROVENCE-ALPES-COTE D'AZUR
31110,GOUAUX-DE-LARBOUST,31,HAUTE-GARONNE,73,MIDI-PYRENEES
81140,CAHUZAC-SUR-VERE,81,TARN,73,MIDI-PYRENEES
58700,ARTHEL,58,NIEVRE,26,BOURGOGNE
26340,ESPENEL,26,DROME,82,RHONE-ALPES
62173,RANSART,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
30430,THARAUX,30,GARD,91,LANGUEDOC-ROUSSILLON
71190,SAINT-NIZIER-SUR-ARROUX,71,SAONE-ET-LOIRE,26,BOURGOGNE
